InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,TRUE,Brad Ausmus,18,6279,718,1579,270,34,80,607,102,.251,.344,1,2157,3,2010,ausmubr01
FALSE,FALSE,Jose Vizcaino,18,5379,633,1453,204,47,36,480,74,.270,.346,0,1859,0,2006,vizcajo01
FALSE,TRUE,Lenny Harris,18,3924,460,1055,161,21,37,369,131,.269,.349,0,1369,0,2005,harrile01
FALSE,FALSE,Greg Myers,18,3042,333,776,150,7,87,396,3,.255,.395,0,1201,0,2005,myersgr01
FALSE,TRUE,Ellis Burks,18,7232,1253,2107,402,63,352,1206,181,.291,.510,2,3691,5,2004,burksel01
FALSE,TRUE,Jay Bell,18,7398,1123,1963,394,67,195,860,91,.265,.416,2,3076,3,2003,bellja01
FALSE,TRUE,Shawon Dunston,18,5927,736,1597,292,62,150,668,212,.269,.416,2,2463,1,2002,dunstsh01
FALSE,TRUE,Tony Phillips,18,7617,1300,2023,360,50,160,819,177,.266,.389,0,2963,0,1999,phillto02
FALSE,TRUE,Willie McGee,18,7649,1010,2254,350,94,79,856,352,.295,.396,4,3029,7,1999,mcgeewi01
FALSE,TRUE,Tony Pena,18,6489,667,1687,298,27,107,708,80,.260,.364,5,2360,5,1997,penato01
FALSE,TRUE,Dale Murphy,18,7960,1197,2111,350,39,398,1266,161,.265,.469,7,3733,19,1993,murphda05
FALSE,FALSE,Alfredo Griffin,18,6780,759,1688,245,78,24,527,192,.249,.319,1,2161,2,1993,griffal01
FALSE,FALSE,Rick Cerone,18,4069,393,998,190,15,59,436,6,.245,.343,0,1395,1,1992,ceronri01
FALSE,TRUE,Jack Clark,18,6847,1118,1826,332,39,340,1180,77,.267,.476,4,3256,4,1992,clarkja01
FALSE,FALSE,Jamie Quirk,18,2266,193,544,100,7,43,247,5,.240,.347,0,787,0,1992,quirkja01
FALSE,TRUE,Willie Randolph,18,8018,1239,2210,316,65,54,687,271,.276,.351,6,2818,4,1992,randowi01
FALSE,FALSE,Denny Walling,18,2945,372,799,142,30,49,380,44,.271,.390,0,1148,0,1992,wallide01
FALSE,TRUE,Frank White,18,7859,912,2006,407,58,160,886,178,.255,.383,5,3009,11,1990,whitefr01
FALSE,FALSE,Jim Dwyer,18,2761,409,719,115,17,77,349,26,.260,.398,0,1099,0,1990,dwyerji01
FALSE,TRUE,Buddy Bell,18,8995,1151,2514,425,56,201,1106,55,.279,.406,5,3654,11,1989,bellbu01
FALSE,TRUE,George Hendrick,18,7129,941,1980,343,27,267,1111,59,.278,.446,4,3178,4,1988,hendrge01
FALSE,FALSE,Tom Paciorek,18,4121,494,1162,232,30,86,503,55,.282,.415,1,1712,0,1987,pacioto01
FALSE,TRUE,Bill Russell,18,7318,796,1926,293,57,46,627,167,.263,.338,3,2471,1,1986,russebi01
FALSE,TRUE,George Foster,18,7023,986,1925,307,47,348,1239,51,.274,.480,5,3370,9,1986,fostege01
FALSE,TRUE,Richie Hebner,18,6144,865,1694,273,57,203,890,38,.276,.438,0,2690,0,1985,hebneri01
FALSE,TRUE,Al Oliver,18,9049,1189,2743,529,77,219,1326,84,.303,.451,7,4083,5,1985,oliveal01
FALSE,TRUE,Lou Piniella,18,5867,651,1705,305,41,102,766,32,.291,.409,1,2398,1,1984,pinielo01
FALSE,TRUE,Lee May,18,7609,959,2031,340,31,354,1244,39,.267,.459,3,3495,1,1982,mayle01
FALSE,TRUE,Mark Belanger,18,5784,676,1316,175,33,20,389,167,.228,.280,1,1617,9,1982,belanma01
FALSE,TRUE,Jose Cardenal,18,6964,936,1913,333,46,138,775,329,.275,.395,0,2752,0,1980,cardejo02
FALSE,TRUE,Willie Horton,18,7298,873,1993,284,40,325,1163,20,.273,.457,4,3332,2,1980,hortowi01
FALSE,TRUE,Ed Kranepool,18,5436,536,1418,225,25,118,614,15,.261,.377,1,2047,0,1979,kraneed01
FALSE,FALSE,Willie Davis,18,9174,1217,2561,395,138,182,1053,398,.279,.412,2,3778,4,1979,daviswi02
FALSE,TRUE,Jim Fregosi,18,6523,844,1726,264,78,151,706,76,.265,.398,6,2599,3,1978,fregoji01
FALSE,TRUE,Joe Torre,18,7874,996,2342,344,59,252,1185,23,.297,.452,9,3560,9,1977,torrejo01
FALSE,TRUE,Tommy Davis,18,7223,811,2121,272,35,153,1052,136,.294,.405,2,2922,3,1976,davisto02
FALSE,TRUE,Vada Pinson,18,9645,1365,2757,485,127,256,1169,305,.286,.442,2,4264,1,1975,pinsova01
FALSE,TRUE,Smoky Burgess,18,4471,485,1318,230,33,126,673,13,.295,.446,8,1992,1,1967,burgesm01
FALSE,TRUE,Gil Hodges,18,7030,1105,1921,295,48,370,1274,63,.273,.487,8,3422,5,1963,hodgegi01
FALSE,FALSE,Sherm Lollar,18,5351,623,1415,244,14,155,808,20,.264,.402,7,2152,4,1963,lollash01
FALSE,FALSE,Dave Philley,18,6296,789,1700,276,72,84,729,101,.270,.377,0,2372,0,1962,phillda01
FALSE,FALSE,Eddie Yost,18,7346,1215,1863,337,56,139,683,72,.254,.371,1,2729,0,1962,yosted01
FALSE,TRUE,Walker Cooper,18,4702,573,1341,240,40,173,812,18,.285,.464,10,2180,6,1957,coopewa01
FALSE,TRUE,Dixie Walker,18,6740,1037,2064,376,96,105,1023,59,.306,.437,5,2947,3,1949,walkedi02
FALSE,TRUE,Rick Ferrell,18,6028,687,1692,324,45,28,734,29,.281,.363,10,2190,0,1947,ferreri01
FALSE,TRUE,Joe Kuhel,18,7984,1236,2212,412,111,131,1049,178,.277,.406,0,3239,0,1947,kuheljo01
FALSE,TRUE,Dick Bartell,18,7629,1130,2165,442,71,79,710,109,.284,.391,2,2986,2,1946,bartedi01
FALSE,TRUE,Lloyd Waner,18,7772,1201,2459,281,118,27,598,67,.316,.393,1,3057,4,1945,wanerll01
FALSE,TRUE,Jimmie Wilson,18,4778,580,1358,252,32,32,621,86,.284,.370,2,1770,2,1940,wilsoji01
FALSE,TRUE,Ossie Bluege,18,6440,883,1751,276,67,43,848,140,.272,.356,1,2290,2,1939,bluegos01
FALSE,TRUE,Kiki Cuyler,18,7161,1305,2299,394,157,128,1065,328,.321,.474,1,3391,9,1938,cuyleki01
FALSE,TRUE,Goose Goslin,18,8656,1483,2735,500,173,248,1609,175,.316,.500,1,4325,4,1938,gosligo01
FALSE,FALSE,Val Picinich,18,2877,298,743,166,26,26,298,31,.258,.361,0,1039,0,1933,picinva01
FALSE,FALSE,Charlie Jamieson,18,6560,1062,1990,322,80,18,552,131,.303,.385,0,2526,1,1932,jamiech01
FALSE,TRUE,Edd Roush,18,7363,1099,2376,339,182,68,981,268,.323,.446,0,3283,14,1931,roushed01
FALSE,TRUE,Ray Schalk,18,5306,579,1345,199,49,11,594,177,.253,.316,0,1675,5,1929,schalra01
