InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Ernie Gust,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,210
FALSE,FALSE,Mike Handiboe,1,15,0,1,0,0,0,0,0,0.0666666666666667,0.0666666666666667,0,0,0,0,0,1,0,1911,211
FALSE,FALSE,Joe Giannini,1,2,0,1,1,0,0,0,0,0.5,1,0,0,0,0,0,2,0,1911,212
FALSE,FALSE,Bill Keen,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,213
FALSE,FALSE,Tex Jones,1,31,4,6,1,0,0,4,1,0.193548387096774,0.225806451612903,0,0,0,0,0,7,0,1911,214
FALSE,FALSE,Otis Johnson,1,209,21,49,9,6,3,36,12,0.23444976076555,0.37799043062201,0,0,0,0,0,79,0,1911,215
FALSE,FALSE,Scotty Ingerton,1,521,63,130,24,4,5,61,6,0.249520153550864,0.339731285988484,0,0,0,0,0,177,0,1911,216
FALSE,FALSE,Al Humphrey,1,27,4,5,0,0,0,0,0,0.185185185185185,0.185185185185185,0,0,0,0,0,5,0,1911,217
FALSE,FALSE,Bill Lindsay,1,66,6,16,2,0,0,5,2,0.242424242424242,0.272727272727273,0,0,0,0,0,18,0,1911,218
FALSE,FALSE,Walter Lonergan,1,26,2,7,0,0,0,1,1,0.269230769230769,0.269230769230769,0,0,0,0,0,7,0,1911,219
FALSE,FALSE,Chick Lathers,2,127,9,29,3,0,0,7,0,0.228346456692913,0.251968503937008,0,0,0,0,0,32,0,1911,220
FALSE,FALSE,Clarence Lehr,1,27,2,4,0,0,0,2,0,0.148148148148148,0.148148148148148,0,0,0,0,0,4,0,1911,221
FALSE,FALSE,Cotton Knaupp,2,98,5,18,4,1,0,11,4,0.183673469387755,0.244897959183673,0,0,0,0,0,24,0,1911,222
FALSE,FALSE,Ralph Kreitz,1,17,0,4,1,0,0,0,0,0.235294117647059,0.294117647058824,0,0,0,0,0,5,0,1911,223
FALSE,FALSE,Bill Bailey,1,9,1,1,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0,1,0,1911,224
FALSE,FALSE,Tracy Baker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,225
FALSE,FALSE,Al Burch,6,2185,254,554,48,20,4,103,96,0.253546910755149,0.299313501144165,0,0,0,0,0,654,0,1911,226
FALSE,FALSE,Dave Callahan,2,60,7,12,1,1,0,2,5,0.2,0.25,0,0,0,0,0,15,0,1911,227
FALSE,FALSE,John Black,1,186,13,28,4,0,0,7,4,0.150537634408602,0.172043010752688,0,0,0,0,0,32,0,1911,228
FALSE,FALSE,Al Clancy,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,229
FALSE,FALSE,Swede Carlstrom,1,6,0,1,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0,1,0,1911,230
FALSE,FALSE,Joe Crisp,2,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,1911,231
FALSE,FALSE,Dode Criss,4,304,38,84,19,4,3,47,3,0.276315789473684,0.394736842105263,0,0,0,0,0,120,0,1911,232
FALSE,FALSE,Charles Conway,1,3,0,1,0,1,0,0,0,0.333333333333333,1,0,0,0,0,0,3,0,1911,233
FALSE,FALSE,Ed Conwell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,234
FALSE,FALSE,Jim Doyle,2,485,70,135,25,12,5,63,19,0.278350515463918,0.410309278350515,0,0,0,0,0,199,0,1911,235
FALSE,FALSE,Jerry D'Arcy,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,236
FALSE,FALSE,Jim Duggan,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1911,237
FALSE,FALSE,Gene Elliott,1,13,1,1,1,0,0,1,0,0.0769230769230769,0.153846153846154,0,0,0,0,0,2,0,1911,238
FALSE,FALSE,Bill Davidson,3,808,83,190,16,11,1,60,46,0.235148514851485,0.285891089108911,0,0,0,0,0,231,0,1911,239
FALSE,FALSE,John Daley,1,52,7,9,0,0,1,3,4,0.173076923076923,0.230769230769231,0,0,0,0,0,12,0,1912,240
FALSE,FALSE,Jud Daley,2,264,30,66,11,2,1,20,4,0.25,0.318181818181818,0,0,0,0,0,84,0,1912,241
FALSE,FALSE,Bill Cunningham,3,432,42,90,16,6,4,59,16,0.208333333333333,0.300925925925926,0,0,0,0,0,130,0,1912,242
FALSE,FALSE,Stump Edington,1,53,4,16,0,2,0,12,0,0.30188679245283,0.377358490566038,0,0,0,0,0,20,0,1912,243
FALSE,FALSE,Rube Ellis,4,1985,279,517,66,30,13,199,58,0.260453400503778,0.343576826196474,0,0,0,0,0,682,0,1912,244
FALSE,FALSE,Chester Emerson,2,19,2,4,0,0,0,0,1,0.210526315789474,0.210526315789474,0,0,0,0,0,4,0,1912,245
FALSE,FALSE,Mutz Ens,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,246
FALSE,FALSE,John Dowd,1,31,1,6,1,0,0,0,0,0.193548387096774,0.225806451612903,0,0,0,0,0,7,0,1912,247
FALSE,FALSE,Red Downs,3,790,67,179,30,11,3,94,13,0.226582278481013,0.30379746835443,0,0,0,0,0,240,0,1912,248
FALSE,FALSE,Ona Dodd,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1912,249
FALSE,FALSE,Curt Coleman,1,37,8,9,4,0,0,4,0,0.243243243243243,0.351351351351351,0,0,0,0,0,13,0,1912,250
FALSE,FALSE,Dick Cotter,2,100,8,28,0,2,0,15,2,0.28,0.32,0,0,0,0,0,32,0,1912,251
FALSE,FALSE,Jim Clark,2,19,2,3,0,1,0,3,2,0.157894736842105,0.263157894736842,0,0,0,0,0,5,0,1912,252
FALSE,FALSE,Jack Bliss,5,654,70,143,15,6,3,61,13,0.218654434250765,0.273700305810398,0,0,0,0,0,179,0,1912,253
FALSE,FALSE,Dennis Berran,1,4,1,1,0,0,0,0,0,0.25,0.25,0,0,0,0,0,1,0,1912,254
FALSE,FALSE,Jack Boyle,1,25,4,7,1,0,0,2,0,0.28,0.32,0,0,0,0,0,8,0,1912,255
FALSE,FALSE,Hank Butcher,2,215,30,48,11,4,2,21,10,0.223255813953488,0.33953488372093,0,0,0,0,0,73,0,1912,256
FALSE,FALSE,Bill Brown,1,20,0,4,0,0,0,1,0,0.2,0.2,0,0,0,0,0,4,0,1912,257
